Date,Open,High,Low,Close,Volume
2023-06-01,176.16916396782793,178.56831456742498,175.4057930547119,178.53857421875,68901800
2023-06-02,179.4704869589175,180.21402596420296,177.71573067078862,179.39117431640625,61945900
2023-06-05,181.05670243794387,183.35670847100744,176.50623240767692,178.03297424316406,121946500
2023-06-06,178.41961560329207,178.56831734898336,175.90148844243106,177.66616821289062,64848400
2023-06-07,176.9028316616435,179.64897374194354,175.79248473849356,176.28817749023438,61944600
2023-06-08,176.367453055308,179.2821284929526,175.93125619506344,179.01446533203125,50214900
2023-06-09,179.93643394119178,180.6601409825454,179.0739335613958,179.40109252929688,48870700
2023-06-12,179.70841552076647,182.30584013644759,179.4109969086846,182.20669555664062,54274900
2023-06-13,181.22526434191118,182.56362563080822,180.868364972737,181.73086547851562,54929100
2023-06-14,181.79033583961464,182.8015531826157,180.45197462688512,182.36534118652344,57462900
2023-06-15,182.37524971506843,184.91319370821412,182.19679249165128,184.40757751464844,65433200
2023-06-16,185.12137027990616,185.37914013584773,182.68257094685526,183.32696533203125,101235600
2023-06-20,182.82137659501507,184.4968202621219,182.82137659501507,183.41619873046875,49799100
2023-06-21,183.30713360389032,183.81274978200145,181.01703601018858,182.375244140625,49515700
2023-06-22,182.15714267343606,185.43862563579464,182.0877384404729,185.38905334472656,51245300
2023-06-23,183.95153754819322,185.94421646985703,183.41618103785228,185.07179260253906,53079300
2023-06-26,185.2205087707664,186.42999999051133,183.63428631385352,183.6739501953125,48088700
2023-06-27,184.28863684003687,186.7671004131867,184.0705308354124,186.43994140625,50730800
2023-06-28,186.31103877905792,188.26406909954764,185.9838949305078,187.6196746826172,51216800
2023-06-29,187.45115547762376,188.43263248114428,187.312362125066,187.95675659179688,46347300
2023-06-30,189.97918829297507,192.80462759541973,189.6123654098311,192.2990264892578,85069600
2023-07-03,192.11062254888682,192.20976711966864,190.10802021232752,190.802001953125,31458200
2023-07-05,189.91970062749374,191.31754248795588,188.97787243386384,189.6817626953125,46920300
2023-07-06,188.2045627194373,190.36579032144616,187.57007679659148,190.1575927734375,45094300
2023-07-07,189.76104508696721,191.01018499526114,188.6011262162648,189.03732299804688,46778000
2023-07-10,187.62956280429208,188.35328491241106,185.42868638795846,186.98516845703125,59922200
2023-07-11,187.53044524382943,187.66923857945199,184.9925013196807,186.45974731445312,46638100
2023-07-12,188.04597194874682,190.04857465553215,186.84640410814296,188.1352081298828,60750200
2023-07-13,188.8589108119984,189.5429691298021,188.14511214362412,188.8985595703125,41342300
2023-07-14,188.59124304090398,189.53305615859267,187.99642086899894,189.0472869873047,41573900
2023-07-17,190.2468257033596,192.64599134916114,190.1576046603519,192.31883239746094,50520200
2023-07-18,191.68434955477355,192.65590289157154,190.76235338000512,192.06106567382812,48353800
2023-07-19,191.4365103758755,196.52230675519328,190.99037488225764,193.41928100585938,80507300
2023-07-20,193.40936968617578,194.77748634801802,190.84168518874347,191.4662628173828,59581200
2023-07-21,192.42791035637276,193.29041080540085,189.5826239989074,190.28651428222656,71917800
2023-07-24,191.7438412670713,193.230919269526,190.5938306479448,191.0895233154297,45377800
2023-07-25,191.66454650804036,192.76498493762563,191.25807485221583,191.95204162597656,37283200
2023-07-26,192.0015959886147,193.95462630849192,191.6546201978147,192.82444763183594,47471900
2023-07-27,194.33136299756583,195.50119046422063,190.89125457942112,191.55548095703125,47460200
2023-07-28,192.99299467254062,194.93611671931453,192.46756161890426,194.14300537109375,48291400
2023-07-31,194.37100498050742,194.7973085377491,193.57789369266726,194.7576446533203,38824100
2023-08-01,194.5494738750641,195.03524303340677,193.5977372471017,193.92489624023438,35175100
2023-08-02,193.35977399392826,193.49856732490423,190.19726772902345,190.9209747314453,50389300
2023-08-03,189.91969553388512,190.71279169853844,189.04727159995883,189.52313232421875,61235200
2023-08-04,183.92183059501792,185.76580811380504,180.3528369691908,180.4222412109375,115799700
2023-08-07,180.56102321579414,181.5524085909385,175.82220233279125,177.3092803955078,97576100
2023-08-08,178.14203038384454,178.71703568412062,176.05020675575068,178.25108337402344,67823000
2023-08-09,179.31185840559957,179.3713391045639,175.48511045638642,176.6549530029297,60378500
2023-08-10,177.93383023619305,179.1928938087059,176.07003615011226,176.4368438720703,54686900
2023-08-11,176.02983256684112,177.32036168980022,175.26543082107975,176.49639892578125,51988100
2023-08-14,176.67511718788185,178.38260392804418,176.01991561712387,178.15428161621094,43675600
2023-08-15,177.5784931204611,178.17411849604412,175.7618061867858,176.1588897705078,43622600
2023-08-16,175.84123193317788,177.24096145960885,175.2158108770956,175.28530883789062,46964900
2023-08-17,175.85113106656488,176.2184341041098,172.21775754332145,172.73397827148438,66062900
2023-08-18,171.04636032936088,173.82599075554495,170.70883778094841,173.22042846679688,61114200
