Date,Open,High,Low,Close,Volume
2020-01-02,151.5668495220527,153.42826088554256,151.1372952944172,153.32325744628906,22622100
2020-01-03,151.12777897349832,152.6837207384835,150.87958104163584,151.4141387939453,21116200
2020-01-06,149.94409987696073,151.8723384741791,149.39998710539874,151.80551147460938,20813700
2020-01-07,152.0823310334366,152.41642230295344,150.17318812555376,150.42137145996094,21634100
2020-01-08,151.71003067939102,153.49508916164322,150.77455475450427,152.8173370361328,27746500
2020-01-09,154.48779763259108,154.85053934516978,153.71459730049477,154.7264404296875,21385000
2020-01-10,155.42331996085537,155.8051426887704,153.85780890583482,154.0105438232422,20725900
2020-01-13,154.41148917759733,155.89107799794456,153.93420340107278,155.86244201660156,21626500
2020-01-14,155.96741840076578,156.1678848009803,154.37328593172,154.76466369628906,23477400
2020-01-15,155.2323796600258,156.49242076357814,155.18466274765657,155.76693725585938,21417900
2020-01-16,156.8838421156046,158.68798178601898,156.57837222412832,158.62115478515625,23865400
2020-01-17,159.81433587734148,159.86206735862157,157.91473362097693,159.50888061523438,34371700
2020-01-21,159.10797310774927,160.54938541719685,158.8693302290307,158.9361572265625,29517200
2020-01-22,159.79525389317888,159.88117639299483,158.15338984431403,158.1724853515625,24138800
2020-01-23,158.64024220338177,159.22253140940367,157.7620381585891,159.1461639404297,19680800
2020-01-24,159.90025784938828,159.91935335669822,156.97927155195472,157.54246520996094,24918100
2020-01-27,153.8291817842759,155.95788658346538,152.92234182907538,154.90785217285156,32078100
2020-01-28,156.33974768169656,158.22979551880417,155.6620099495535,157.9434356689453,24899900
2020-01-29,160.21527757735336,161.08394114088054,158.16295467202275,160.40618896484375,34754500
2020-01-30,166.14315693787148,166.14315693787148,163.0312448171451,164.93084716796875,51597500
2020-01-31,164.386735306438,164.56809162420643,161.876208045128,162.49667358398438,36142700
2020-02-03,162.6876216573005,166.57273484253994,162.6589856761577,166.45819091796875,30107000
2020-02-04,169.09274452714232,172.4337437813152,168.30044867042352,171.93736267089844,36433300
2020-02-05,175.66977095885156,175.83204634656084,170.3050844317914,171.72738647460938,39186300
2020-02-06,172.748830334289,175.469365326315,171.8801666487669,175.28799438476562,27751400
2020-02-07,174.5433698005128,177.19707687616415,174.19016851132312,175.53611755371094,33529100
2020-02-10,175.24025317908172,180.2612944684635,174.92524280841616,180.12765502929688,35844300
2020-02-11,181.9890534343469,182.03678492319855,175.16387293112035,176.06117248535156,53159900
2020-02-12,177.14938123785024,177.40711962197622,173.5888336107686,176.31890869140625,47062900
2020-02-13,174.7629342027948,177.76982829589463,174.56246779930643,175.36431884765625,35295800
2020-02-14,174.92521894941493,176.98709678584612,174.35247025076032,176.92982482910156,23149500
2020-02-18,177.17800990105596,179.17306076378034,177.0730064574597,178.7244110107422,27792200
2020-02-19,180.00700463143806,180.12186138936497,178.48509416736147,179.26040649414062,29997500
2020-02-20,178.94454904497888,179.2317055664298,173.345062600929,176.52288818359375,36862400
2020-02-21,175.3263998174394,175.64227050341614,169.65990434185565,170.94252014160156,48572600
2020-02-24,160.58588776840844,167.0755587186096,156.24028793473119,163.57228088378906,68311100
2020-02-25,166.7405271336605,167.35312091933608,160.47100370822852,160.87303161621094,68073300
2020-02-26,162.44280838105968,165.8407811816889,161.00704028883158,162.8831024169922,56206100
2020-02-27,156.32648462054772,159.87761060717156,151.21513755157105,151.4065704345703,93174900
2020-02-28,145.8836320833178,156.69975601306766,145.49118524939092,155.07254028320312,97012700
2020-03-02,158.2312217343884,165.51535283207693,155.35968539530575,165.3909149169922,71030800
2020-03-03,166.35770028059628,167.50631207086104,155.31184729416148,157.4654998779297,71677000
2020-03-04,161.27505550994934,163.39041240338062,158.52794252039857,163.24684143066406,49814400
2020-03-05,158.93953547189074,163.5531294844052,158.59495053526152,159.15011596679688,47817300
2020-03-06,155.64685730780988,156.12544674487893,149.31990436554153,154.65139770507812,72821100
2020-03-09,144.53400546163766,150.99496265942608,143.57682661752085,144.17027282714844,70419300
2020-03-10,151.38738218810445,154.13448030155593,146.04632344854542,154.02919006347656,65354400
2020-03-11,150.40151758117216,150.94710193161995,144.6775775344153,147.0513916015625,56371600
2020-03-12,139.07807085286538,146.89821923788367,132.64582868992906,133.1052703857422,93226400
2020-03-13,141.18389319212847,154.97684517809068,134.70378769983438,152.0287322998047,92727400
2020-03-16,134.00505133305953,142.95468024638834,129.2191566425931,129.6211700439453,87905900
2020-03-17,134.0050004101769,141.18383971786494,129.21910753838486,140.29367065429688,81059800
2020-03-18,132.09065546935233,139.7480847719235,129.23826714365302,134.38787841796875,81593200
2020-03-19,136.65642741711832,143.72039734227005,133.04785909180967,136.5989990234375,85922700
2020-03-20,139.7480961231457,140.80099857992752,130.0423042779866,131.468505859375,84866200
2020-03-23,131.14307386995858,134.55064297153052,126.84535002067652,130.1571807861328,78975200
2020-03-24,137.59445259067172,143.1939544165174,135.22065325461648,141.98789978027344,82516700
2020-03-25,142.5334834948533,147.72139028792844,138.2548935442496,140.62869262695312,75638200
2020-03-26,142.04533102950404,149.95163742924396,142.0166168333385,149.42518615722656,64568100
2020-03-27,145.2518924415378,148.257433486755,142.81108342012416,143.2896728515625,57042300
2020-03-30,145.91231349541476,153.72289466440344,143.58636181693944,153.3687286376953,63420300
2020-03-31,152.57428483607072,157.72391111486942,149.85590072827637,150.9566650390625,77927200
2020-04-01,146.44836994984593,150.99496967051107,144.36172698337032,145.5964813232422,57969900
2020-04-02,145.35715532805682,148.82213748544504,143.92138730411529,148.61155700683594,49630700
2020-04-03,148.45841886264432,150.64078508097487,145.67302540319514,147.2427978515625,41243300
2020-04-06,153.45488555470874,159.37024249997808,150.83221084061367,158.1929168701172,67111700
2020-04-07,162.32791648261895,162.72036321684644,156.26897414666294,156.4891357421875,62769000
2020-04-08,158.57579953473572,159.5329782713047,156.49872342902765,158.05892944335938,48318200
2020-04-09,159.23624056503343,160.20298574217838,156.33599042821146,158.0684814453125,51385100
2020-04-13,157.31232177165464,158.48008092873175,155.35010255817997,158.42263793945312,41905300
2020-04-14,161.7631806906829,166.30977896453348,160.80600210671437,166.2619171142578,52874300
2020-04-15,163.8689930811695,166.13751656730375,161.99293097885268,164.51988220214844,40940800
2020-04-16,166.83623280718882,169.68862094407544,165.49617400471112,169.45889282226562,50479600
2020-04-17,171.81360356027008,172.29219298522904,168.3390396613431,170.9521484375,52765600
2020-04-20,169.06651384608264,171.095728441142,167.49674103369145,167.56373596191406,36669600
2020-04-21,166.07052729833796,166.2332459470786,158.99697631635922,160.63375854492188,56203700
2020-04-22,164.05086523508652,166.5491023546214,163.50528094286486,166.08966064453125,34620200
2020-04-23,166.65437218282156,167.56368896204097,163.59140348184656,164.07955932617188,32790800
2020-04-24,164.6921961079911,167.08514331310639,163.40001338046326,167.07557678222656,34277600
2020-04-27,169.02819727967727,169.3249203646585,165.879085519387,166.5969696044922,33194400
2020-04-28,168.07097336094168,168.14754939543366,162.13646943897155,162.53848266601562,34392700
2020-04-29,165.8024852010101,170.07149375669667,164.51986932861183,169.8321990966797,51286600
2020-04-30,172.2921602045926,172.67502582955896,168.68359253746573,171.53599548339844,53875900
2020-05-01,168.27202178019542,170.99040583781405,166.55866369356815,167.09469604492188,39370500
2020-05-04,167.0181352030328,171.33500636237935,166.35767948968982,171.18185424804688,30372900
2020-05-05,172.88563361108132,175.78588426417025,172.196463692982,173.01963806152344,36839200
2020-05-06,174.28310988132503,176.31232417307075,173.85238236161905,174.72340393066406,32139300
2020-05-07,176.2835602170673,176.64729271588945,174.76164992786624,175.73797607421875,28316000
2020-05-08,177.05890028676012,177.07804794901972,175.50827556763306,176.77174377441406,30877800
2020-05-11,175.30729302541394,179.48059321685093,175.02015106702683,178.7435760498047,30892700
2020-05-12,178.80097625310097,179.0306897835958,174.49367229167643,174.69467163085938,32038200
2020-05-13,174.7329904875629,176.16875866805987,168.9803366302558,172.05288696289062,44711500
2020-05-14,169.93751443835154,172.95263636326058,168.1571613205752,172.7994842529297,41873900
2020-05-15,171.3924103645551,179.04983972684337,169.42062464062786,175.3168487548828,46610400
2020-05-18,177.79597008217846,178.22669764043815,176.08262637962895,176.991943359375,35264500
2020-05-19,177.10679867727748,178.60957645886265,175.63274969770194,175.76675415039062,26799100
2020-05-20,177.38888389572662,178.3871305136739,176.55382375357337,178.2047576904297,31261300
2020-05-21,177.9551494380042,179.17415595112675,175.9298771279143,176.0642547607422,29119500
2020-05-22,175.83390963368913,177.05291620338292,175.21000194469843,176.14105224609375,20826900
2020-05-26,178.85743991305102,179.0110185646772,173.8278635638584,174.27899169921875,36073600
2020-05-27,172.963988040229,174.68211801691652,169.50855638674753,174.50933837890625,39517100
2020-05-28,173.48228225914846,176.7553405346038,173.13673768904587,174.1157684326172,33810200
2020-05-29,175.39241718456637,176.87058621808114,173.16558510598713,175.89154052734375,42130400
2020-06-01,175.21004016334763,175.65157515719272,174.1734208050576,175.4884033203125,22622400
2020-06-02,176.85136234882526,177.5712457776536,174.0678189491154,177.48486328125,30794600
2020-06-03,177.3984689744724,178.47349013654497,176.20825651213138,177.91677856445312,27311000
2020-06-04,176.89935826789164,178.37751247051122,174.9796691160883,175.57476806640625,28761800
2020-06-05,175.2867872856692,180.19159296941456,174.70128159029224,179.68287658691406,39893600
2020-06-08,178.47353368290322,180.97872904553515,177.033766569806,180.79635620117188,33211600
2020-06-09,180.4507439785065,183.04232088302777,179.74045386260417,182.178466796875,29783900
2020-06-10,183.4550425825523,190.54829125140589,183.3398513092165,188.9357452392578,43872300
2020-06-11,185.37475539964854,187.89913623603275,178.59825621537857,178.79022216796875,52854700
2020-06-12,182.88873965051388,184.02136362204456,177.74397324611343,180.20118713378906,43373600
2020-06-15,177.16807480524406,183.15750892070102,176.62095648660215,181.35299682617188,32770200
2020-06-16,185.14443242683828,187.72641685743025,183.77186161876213,185.79713439941406,42556700
2020-06-17,187.1984408741019,188.43664827724567,185.91225297070147,186.44017028808594,25687800
2020-06-18,186.20982979362395,188.5998478300532,186.20982979362395,188.43667602539062,23061600
2020-06-19,190.61554281919862,191.28743113543558,186.56499728208425,187.3136749267578,44441100
2020-06-22,187.92795146469385,192.69837988397876,187.39044087875726,192.51602172851562,32818900
2020-06-23,193.9749958365343,195.7603074164586,193.34149487196547,193.80223083496094,30917400
2020-06-24,193.50471672426838,195.08845477917714,188.66709075082355,189.89569091796875,36740600
2020-06-25,189.8572588057207,192.55441970306296,187.6208192009114,192.29525756835938,27803900
2020-06-26,191.70977031493157,191.86334897596745,187.05453249006115,188.44630432128906,54675800
2020-06-29,187.91836756197677,190.55794011288884,185.77791828522643,190.4715576171875,26701600
2020-06-30,189.93400733541577,196.19218204024745,189.79962971036878,195.33792114257812,34310300
2020-07-01,194.98280851775834,198.06391576552463,193.66782625721174,196.48016357421875,32061200
2020-07-02,197.42082744501693,199.6668749075703,196.76814015656055,197.9775390625,29315800
2020-07-06,200.44432281925558,202.6519680337817,199.73403263748466,202.23922729492188,31897600
2020-07-07,201.99928942933178,206.04983473859397,199.63807995851283,199.88763427734375,33600700
2020-07-08,201.63457123980288,204.696463349107,200.30998094536224,204.2837371826172,33600000
2020-07-09,207.64314923722176,207.6911443883824,202.97830467804536,205.7138671875,33121700
2020-07-10,205.0420164333308,205.48355143164616,202.60401738352232,205.0900115966797,26177600
2020-07-13,205.86745720277855,207.13445905255088,198.20790171209103,198.75502014160156,38135600
2020-07-14,197.85277114576334,200.4635496170583,193.91740244601345,199.98362731933594,37591800
2020-07-15,201.14503357793527,202.84396263388592,196.79693867821612,199.68606567382812,32179400
2020-07-16,197.15205686543402,197.4400131481872,194.18614083902548,195.7314910888672,29940700
2020-07-17,196.25939500336793,196.80649872151776,193.30307235279196,194.73324584960938,31635300
2020-07-20,196.76812403001048,203.77499186370676,194.85802818757483,203.1031036376953,36884800
2020-07-21,205.08036282280696,205.34911808941715,199.67643403748642,200.36752319335938,37990400
2020-07-22,200.79944886411118,203.7749724116346,200.0219772306525,203.24705505371094,49605700
2020-07-23,198.87017640461835,202.45039214661074,194.03255211484185,194.40689086914062,67457000
2020-07-24,192.37203745566444,194.71406043410218,189.5788863799343,193.21670532226562,39827000
2020-07-27,193.37987205022162,195.77948329356477,192.7943663210033,195.664306640625,30160900
2020-07-28,195.43390962889922,196.480136460374,193.63900537251013,193.9077606201172,23251400
2020-07-29,194.3685503836158,196.43221061568144,193.89822121133773,195.86590576171875,19632600
2020-07-30,192.92873718736882,196.24980547575794,191.55616663450482,195.7122802734375,25079600
2020-07-31,196.19220424708922,196.86410709443905,191.0186431280946,196.7777099609375,51044000
2020-08-03,203.02633250734016,208.90057673251002,201.98969858888674,207.84474182128906,78983000
2020-08-04,205.56991818694544,206.1458308108699,201.864917409733,204.72525024414062,49280100
2020-08-05,206.27058457085792,206.36657488271786,203.07431516004908,204.38929748535156,28806400
2020-08-06,203.81341280887844,207.68158564013862,203.05514196721083,207.6623992919922,32656800
2020-08-07,206.22259531548428,207.03845434743357,202.45999201190585,203.94775390625,27820400
2020-08-10,203.17030099150136,203.3718747980669,198.0639354292782,199.88763427734375,36716500
2020-08-11,198.8413916071683,199.3117060421688,194.98281258770336,195.2131805419922,36446500
2020-08-12,197.04646891700722,201.83609819491352,196.52815933665153,200.7898712158203,28013100
2020-08-13,201.0298244691704,202.86313088844787,199.79161692368524,200.3195343017578,22588900
2020-08-14,200.37717323187894,201.1738460861627,199.1773673632711,200.5115509033203,17958900
2020-08-17,201.18338768154135,202.70953672898028,200.5306858879182,201.83607482910156,20184800
2020-08-18,202.07604048973576,203.83255750038833,200.8090534968772,202.99749755859375,21336200
2020-08-19,203.48822856121845,204.07514964683784,201.3329742327292,201.7659454345703,27627600
2020-08-20,201.61200028707256,206.86542641303618,201.0058464628428,206.46131896972656,26981500
2020-08-21,205.7685726054539,208.06814597837223,204.79679140552005,204.96035766601562,36249300
2020-08-24,206.66333750991583,207.36572827098124,204.3926283618832,205.60496520996094,25460100
2020-08-25,205.03729494962872,208.4144876214117,205.03729494962872,208.27978515625,23043700
2020-08-26,209.63647695149868,213.6871826466504,209.13614713125165,212.78274536132812,39600800
2020-08-27,214.45691838795236,222.40439459903496,211.09895784566456,218.00730895996094,57602200
2020-08-28,219.5467090103733,221.91364036066201,218.0072544758753,220.2490997314453,26292900
2020-08-31,218.41140795600424,220.04708516739845,215.8231823144508,216.9970245361328,28774200
2020-09-01,216.97778412727217,218.84438623445757,215.93864435580392,218.67120361328125,25725500
2020-09-02,219.34469313601724,224.04967804549815,218.74815570566622,222.8854522705078,34080800
2020-09-03,220.59552879932826,220.6340089316547,206.82695279841502,209.0784149169922,58400300
2020-09-04,206.96166006206397,210.09831211126607,197.4266031074665,206.14381408691406,59664100
2020-09-08,198.68703419320943,202.08347481385906,194.5497225545871,194.99232482910156,52924300
2020-09-09,199.745400897871,206.71146404500217,198.87944384466067,203.2957763671875,45679000
2020-09-10,205.3259434162522,206.61525528666598,196.3874397125869,197.59976196289062,35461500
2020-09-11,199.3605310428003,200.7364342543364,193.62603741830603,196.3104705810547,33620100
2020-09-14,196.51255926382413,201.28488881997822,196.31049818032105,197.63829040527344,30375800
2020-09-15,200.53441836842367,201.842963295847,199.10078729864887,200.88079833984375,21823900
2020-09-16,202.6511354113958,202.67999917944445,196.89739430401985,197.29188537597656,26328100
2020-09-17,192.4810724464651,196.5991366431224,192.39448113744643,195.2328643798828,34011300
2020-09-18,195.12704851750084,195.94487988980146,188.82486536149793,192.8082275390625,55225300
2020-09-21,189.72927359605578,195.0404272442857,188.94992248036098,194.87684631347656,39839700
2020-09-22,197.30149526191477,200.226484234231,194.43424850526944,199.57220458984375,33517100
2020-09-23,200.03401602448724,200.2264606911586,192.46178526161398,193.00059509277344,30803800
2020-09-24,192.2886615687074,197.79224598356436,191.66324557342244,195.50228881835938,31202500
2020-09-25,195.84864455021585,201.13091981366975,194.87684872307534,199.95709228515625,29437300
2020-09-28,202.9013124718636,204.52737329082336,200.1880007589669,201.5157928466797,32004900
2020-09-29,201.42919413090266,202.12195391801143,198.98528747041638,199.4182586669922,24221900
2020-09-30,199.87048183587524,203.95968207307456,198.72550342042436,202.3721160888672,33829100
2020-10-01,205.41258320616546,205.89366564075453,203.32468720182547,204.4215545654297,27158400
2020-10-02,200.13024858971463,203.0071261985201,197.76331707443288,198.38873291015625,33154800
2020-10-05,199.37979791306213,202.4491060800491,199.14887306776157,202.4202423095703,21331600
2020-10-06,200.9192727681935,202.2278028813406,197.0706133347851,198.11936950683594,28554300
2020-10-07,199.2258515006656,202.16045722958788,198.89871897520425,201.89105224609375,25681100
2020-10-08,202.54531231348605,203.19959202978103,200.4381836761741,202.6126708984375,19925800
2020-10-09,203.23805900928684,207.69288656512367,203.23805900928684,207.644775390625,26458000
2020-10-12,210.51203414893342,215.3902168251195,208.60695191939405,213.02328491210938,40461400
2020-10-13,214.29333707129456,216.6891326151677,212.0899715436211,214.42803955078125,28950800
2020-10-14,214.56272446279024,215.73656655140906,210.83915183498107,212.50369262695312,23421700
2020-10-15,208.88598158273,212.0226335098149,207.83721080471156,211.34912109375,22733100
2020-10-16,211.82057244426065,213.87960450564168,211.02198858901411,211.34912109375,26057900
2020-10-19,212.08037897713294,213.88925363160118,205.63387728158474,206.11495971679688,27625800
2020-10-20,207.6351696086239,209.14576073086545,205.02769650520895,206.52867126464844,22753500
2020-10-21,205.05654449557616,208.71277344039027,205.05654449557616,206.67298889160156,22724900
2020-10-22,205.8359282810203,207.8853441988775,203.69030468285396,206.75961303710938,22351500
2020-10-23,206.89427917029462,208.09698507380116,205.09503583671875,208.0488739013672,18879600
2020-10-26,205.7589262972912,208.15470699634687,200.22647929031413,202.13156127929688,37111600
2020-10-27,203.5844284165956,206.54789749901863,202.37210616165964,205.18162536621094,36700300
2020-10-28,199.81277408368302,200.938505204553,194.45352346476508,195.01156616210938,51195600
2020-10-29,196.348979241108,199.51449499676707,195.6754521309309,196.97438049316406,31432600
2020-10-30,195.8005685249777,196.56067238028837,192.06736379802746,194.80953979492188,36953700
2020-11-02,196.56065487022784,197.51320337704038,192.54842912333325,194.67481994628906,30842200
2020-11-03,196.17579759608554,200.24575094427385,195.43492652465187,198.61968994140625,27512000
2020-11-04,205.92253944757687,210.0598515229614,204.38306970928028,208.20286560058594,42311800
2020-11-05,213.63904521414136,215.64034956771135,212.78271921164216,214.8417510986328,36080100
2020-11-06,213.8507262075923,215.87127799998143,209.78077353708855,215.2554931640625,25231900
2020-11-09,215.9482666319052,219.4890259925746,209.63646799316797,210.12716674804688,44395000
2020-11-10,206.38432726137017,208.30865665308457,201.78518118969018,203.0263671875,44045100
2020-11-11,204.35415712865384,209.79038173346626,204.17134348922855,208.3567657470703,29440800
2020-11-12,208.9918236566661,210.81993091272767,206.3458704441471,207.28878784179688,21593900
2020-11-13,208.1739642422896,209.19385652014648,206.0572047454115,208.3182830810547,18621100
2020-11-16,206.7403530282765,209.50177608318282,206.4036041455115,209.0110626220703,24953300
2020-11-17,207.92382066792086,209.44402814330667,205.9802436469447,206.3458709716797,24154100
2020-11-18,206.10468746915095,207.57101096307588,203.480746362088,203.62545776367188,28372800
2020-11-19,203.9148567100995,205.50657901685545,202.51605349033142,204.91812133789062,24792700
2020-11-20,204.70586814691993,205.75736979552403,202.5835670550856,202.9597930908203,22843100
2020-11-23,203.50005869830167,204.79273154665992,200.8085971874717,202.68972778320312,25683500
2020-11-24,202.18806252380884,206.68349230699746,201.48384751173435,206.30726623535156,33979700
2020-11-25,207.51316898612905,207.68680503484683,204.95676235838945,206.31695556640625,21012900
2020-11-27,207.26233638711614,208.63218572293246,206.48093008381176,207.62890625,14512200
2020-11-30,206.53879651260684,207.17547659970663,203.39391807067915,206.50985717773438,33064800
2020-12-01,206.93429049761355,209.64506399789343,205.81526861810434,208.5742645263672,30904500
2020-12-02,207.29126088912773,207.86042080174042,205.2847168067867,207.76394653320312,23724500
2020-12-03,207.03080221649537,208.7382967573464,206.10469924114523,206.6738739013672,25120900
2020-12-04,206.65455667851904,207.77359337524513,205.651277322866,206.78961181640625,24666000
2020-12-07,206.7992528831903,207.92793111579616,205.4679993041687,206.72207641601562,24620000
2020-12-08,206.41338401610594,209.28813748138452,205.3715237954218,208.38133239746094,23284100
2020-12-09,207.5613450929847,207.62886529655023,203.75084748313216,204.32000732421875,32440600
2020-12-10,204.29109033322288,205.55482374295858,202.93088265652304,203.08523559570312,26733300
2020-12-11,202.63185800308318,205.7863785066773,201.72505277355577,205.72848510742188,30979400
2020-12-14,205.574140986377,208.57430844591977,205.3619093549052,206.63528442382812,28798400
2020-12-15,207.5709983765578,207.81216931133375,204.74448208653865,206.56773376464844,27000600
2020-12-16,207.16584180738437,212.3365474582881,207.13690247156956,211.53585815429688,35023300
2020-12-17,212.1050490344061,213.08903075556057,210.22391833213177,211.6709442138672,32515800
2020-12-18,210.87022399902344,211.93138204529595,208.39099433805046,210.87022399902344,63354900
2020-12-21,209.8669583764434,216.0891657865848,209.60648963539475,214.7289581298828,37181900
2020-12-22,214.82544100823074,217.6616137780728,214.01511013682068,216.0312957763672,22612200
2020-12-23,215.23063290894345,215.66473773486922,213.00221537860358,213.21444702148438,18699600
2020-12-24,213.60026965441662,215.71292937755183,213.38803805629948,214.88330078125,10550600
2020-12-28,216.52326066509002,218.04746272776887,215.1437699941289,217.0152587890625,17933500
2020-12-29,218.31756122355856,219.15683131462734,215.6839788992392,216.2338409423828,17403200
2020-12-30,217.27573528269446,217.6616176473018,213.64852937482797,213.85110473632812,20272300
2020-12-31,213.87039840086666,215.12449030176415,211.9217329770077,214.56497192382812,20942100
2021-01-04,214.67108011672624,215.12448267035043,207.2237201668687,210.00201416015625,37130100
2021-01-05,209.58719281314148,210.80270379708463,208.08228847102743,210.20458984375,23823000
2021-01-06,204.6769586619817,208.84439971467242,204.45508551109228,204.75413513183594,35930700
2021-01-07,206.48091954701593,211.59374676648795,206.1625868380979,210.58082580566406,27694500
2021-01-08,210.9570559155459,212.78996405087463,209.36533346109607,211.86386108398438,22956200
2021-01-11,210.75445269292996,211.1789158833176,209.07589772728036,209.80906677246094,23031300
2021-01-12,208.85402276728118,209.4328388800025,205.78633564161188,207.33946228027344,23249300
2021-01-13,206.46163298922275,209.1048572059806,206.3748002592561,208.69969177246094,20087100
2021-01-14,208.28485291795934,209.78011553748576,205.2268074769419,205.49691772460938,29480800
2021-01-15,205.97929960679494,206.93432719678094,204.54191537229212,205.1400146484375,31746500
2021-01-19,206.20115613666417,209.31708059671112,205.1207150230666,208.79615783691406,30480900
2021-01-20,210.01164538751647,217.81593324197758,209.61612152485435,216.41714477539062,37777300
2021-01-21,216.76443361216235,218.30793348539314,214.5649558607472,217.02490234375,30709400
2021-01-22,219.06040382451215,221.94481374827697,217.82560971130675,217.97030639648438,30172700
2021-01-25,221.02836523771916,221.66506012946064,216.3014201273162,221.42388916015625,33152100
2021-01-26,223.67158218627512,225.90964090519284,221.95444623265263,224.12498474121094,49169600
2021-01-27,229.5947281242748,231.94855878459933,222.01231340498785,224.67483520507812,69870600
2021-01-28,227.28912486787857,234.07085003331895,226.78748522733264,230.4918670654297,49111200
2021-01-29,227.65570999358513,229.6140167126395,223.17957824718872,223.76803588867188,42503100
2021-02-01,226.75859731008273,233.93584794872586,224.2214739188661,231.18649291992188,33314200
2021-02-02,232.77821444261426,233.7525398256425,230.26038902161145,231.05142211914062,25916300
2021-02-03,231.10933878020202,236.43438353547978,230.8102743938084,234.41819763183594,27158100
2021-02-04,234.09018810416885,234.64970650721565,231.88105383007826,233.463134765625,25296100
2021-02-05,233.6753779381594,234.68829898131423,231.92930242715093,233.6464385986328,18054800
2021-02-08,234.56286881199966,235.074150067436,232.30551216876293,233.90689086914062,22211900
2021-02-09,233.32805698466197,236.11599247019757,232.855371361657,235.1609649658203,23565000
2021-02-10,236.347494874148,237.2350020681032,232.38264447338142,234.24449157714844,22186700
2021-02-11,236.1352968662007,236.49222515802117,233.59817378890858,235.8555450439453,15751100
2021-02-12,235.3152830417069,236.6369096930941,234.15766556946718,236.33786010742188,16561100
2021-02-16,236.37649141782472,237.43764958042757,234.34100782949233,235.0934600830078,26728500
2021-02-17,233.33368412074378,236.22472264095413,232.96625524373655,236.1183624267578,21653500
2021-02-18,233.79780614573818,235.85730529761895,232.88891240794374,235.72193908691406,16925600
2021-02-19,235.68323559527133,235.7895957994359,232.23137558595567,232.9952392578125,25262600
2021-02-22,229.5627531271613,230.05586973053047,224.70888230589964,226.74905395507812,36446900
2021-02-23,222.70737444670027,227.05844976056775,221.16031954469048,225.55007934570312,30228700
2021-02-24,222.39797484329023,227.4162177891035,221.42140539723303,226.78773498535156,26339700
2021-02-25,224.39943186379477,226.82635937530543,220.3384316846354,221.4116973876953,39542200
2021-02-26,223.86765375241166,227.58056773813183,221.9435062853108,224.6895294189453,37819200
2021-03-01,228.09301226554177,229.61106105369544,225.43402201560778,229.09860229492188,25324000
2021-03-02,229.1662861777647,229.44669705806473,225.72410467397455,226.1302032470703,22812500
2021-03-03,224.47682473467253,225.84982902079332,219.73897808151912,220.029052734375,34029500
2021-03-04,219.23619522269576,224.7959027819712,216.8382585569958,219.2265167236328,44727800
2021-03-05,221.92418304154947,225.55007913301998,218.96545419151897,223.9353485107422,41872800
2021-03-08,223.71295006186025,225.64676131468542,219.61327964830866,219.8646697998047,35267400
