Date,Open,High,Low,Close,Volume
2023-06-01,120.69000244140625,123.48999786376953,119.93000030517578,122.7699966430664,54375100
2023-06-02,124.91999816894531,126.38999938964844,124.0199966430664,124.25,61215000
2023-06-05,123.36000061035156,125.80000305175781,123.02999877929688,125.30000305175781,47950100
2023-06-06,125.06999969482422,127.4000015258789,125.0,126.61000061035156,45695200
2023-06-07,127.01000213623047,127.37000274658203,120.62999725341797,121.2300033569336,95663300
2023-06-08,123.01000213623047,125.62999725341797,122.26000213623047,124.25,62159300
2023-06-09,124.08000183105469,125.80000305175781,123.19000244140625,123.43000030517578,51330000
2023-06-12,124.0199966430664,126.77999877929688,123.52999877929688,126.56999969482422,51338000
2023-06-13,128.1199951171875,128.41000366210938,125.18000030517578,126.66000366210938,50564800
2023-06-14,126.69999694824219,126.94999694824219,124.12000274658203,126.41999816894531,52422500
2023-06-15,125.20999908447266,127.69000244140625,124.31999969482422,127.11000061035156,60458500
2023-06-16,127.70999908447266,127.9000015258789,125.30000305175781,125.48999786376953,84188100
2023-06-20,124.97000122070312,127.25,124.5,125.77999877929688,56930100
2023-06-21,125.63999938964844,126.7300033569336,123.8499984741211,124.83000183105469,52137700
2023-06-22,125.30999755859375,130.3300018310547,125.13999938964844,130.14999389648438,90354600
2023-06-23,129.11000061035156,130.83999633789062,128.27999877929688,129.3300018310547,71855200
2023-06-26,129.3300018310547,131.49000549316406,127.0999984741211,127.33000183105469,59989300
2023-06-27,128.6300048828125,130.08999633789062,127.55000305175781,129.17999267578125,46801000
2023-06-28,128.94000244140625,131.47999572753906,128.44000244140625,129.0399932861328,52149500
2023-06-29,128.77000427246094,129.25999450683594,127.26000213623047,127.9000015258789,40761000
2023-06-30,129.47000122070312,131.25,128.9499969482422,130.36000061035156,54310500
2023-07-03,130.82000732421875,131.85000610351562,130.07000732421875,130.22000122070312,28264800
2023-07-05,130.24000549316406,131.39999389648438,129.63999938964844,130.3800048828125,35895400
2023-07-06,128.25,128.72999572753906,127.37000274658203,128.36000061035156,40639900
2023-07-07,128.58999633789062,130.97000122070312,128.1300048828125,129.77999877929688,41928700
2023-07-10,129.07000732421875,129.27999877929688,125.91999816894531,127.12999725341797,61889300
2023-07-11,127.75,129.77000427246094,127.3499984741211,128.77999877929688,49951500
2023-07-12,130.30999755859375,131.25999450683594,128.8300018310547,130.8000030517578,54022800
2023-07-13,134.0399932861328,134.6699981689453,132.7100067138672,134.3000030517578,61170900
2023-07-14,134.05999755859375,136.64999389648438,134.05999755859375,134.67999267578125,54388100
2023-07-17,134.55999755859375,135.6199951171875,133.2100067138672,133.55999755859375,48450200
2023-07-18,132.7100067138672,133.86000061035156,131.35000610351562,132.8300018310547,54969100
2023-07-19,133.38999938964844,135.99000549316406,132.52999877929688,135.36000061035156,54531000
2023-07-20,134.07000732421875,134.7899932861328,129.3300018310547,129.9600067138672,59820600
2023-07-21,131.33999633789062,131.3699951171875,128.4199981689453,130.0,133265000
2023-07-24,130.30999755859375,131.66000366210938,128.35000610351562,128.8000030517578,45591100
2023-07-25,129.30999755859375,129.5800018310547,128.52999877929688,129.1300048828125,39236700
2023-07-26,126.51000213623047,129.0800018310547,126.11000061035156,128.14999389648438,53910100
2023-07-27,131.0,132.6300048828125,127.79000091552734,128.25,52610700
2023-07-28,129.69000244140625,133.00999450683594,129.3300018310547,132.2100067138672,46317400
2023-07-31,133.1999969482422,133.8699951171875,132.3800048828125,133.67999267578125,41901500
2023-08-01,133.5500030517578,133.69000244140625,131.6199951171875,131.69000244140625,42098500
